title,summary,pdf
"Spatial geometry of charged rotating and non-rotating rings in rotating
  and non-rotating frames","  Spatial geometry of charged thin rotating and non-rotating rings in a
rotating frame is investigated. It is shown, on an example of interaction
between a charged probe and two positive charged non-rotating and negative
charged rotating rings that the spatial geometry of the rotating ring in the
rotating frame has to be different to the spatial geometry of the rotating
frame. In the absent of direct relation between the spatial geometry rotating
frame and the spatial geometry of the rotating ring in that frame the
possibility of a non-flat spatial geometry of rotating electron rings in
tokamak plasma is discussed.
",http://arxiv.org/pdf/1602.05174v1
Differential Rotation in F Stars,"  Differential rotation can be detected in single line profiles of stars
rotating more rapidly than about $v \sin{i} = 10$ km s$^{-1}$ with the Fourier
transform technique. This allows to search for differential rotation in large
samples to look for correlations between differential rotation and other
stellar parameters. I analyze the fraction of differentially rotating stars as
a function of color, rotation, and activity in a large sample of F-type stars.
Color and rotation exhibit a correlation with differential rotation in the
sense that more stars are rotating differentially in the cooler, less rapidly
rotating stars. Effects of rotation and color, however, cannot be disentangled
in the underlying sample. No trend with activity is found.
",http://arxiv.org/pdf/0710.2398v1
Antisolar differential rotation of slowly rotating cool stars,"  Rotating stellar convection transports angular momentum towards the equator,
generating the characteristic equatorial acceleration of the solar rotation
while the radial flux of angular momentum is always inwards. New numerical box
simulations for the meridional cross-correlation $\langle u_\theta
u_\phi\rangle $, however, reveal the angular momentum transport towards the
poles for slow rotation and towards the equator for fast rotation. The
explanation is that for slow rotation a negative radial gradient of the angular
velocity always appears, which in combination with a so-far neglected
rotation-induced off-diagonal eddy viscosity term $\nu_\bot$ provides
""antisolar rotation"" laws with a decelerated equator. Similarly, the
simulations provided positive values for the rotation-induced correlation
$\langle u_r u_\theta\rangle $, which is relevant for the resulting latitudinal
temperature profiles (cool or warm poles) for slow rotation and negative values
for fast rotation. Observations of the differential rotation of slowly rotating
stars will therefore lead to a better understanding of the actual stress-strain
relation, the heat transport, and the underlying rotating convection.
",http://arxiv.org/pdf/1902.04172v2
"Rotation- and temperature-dependence of stellar latitudinal differential
  rotation","  More than 600 high resolution spectra of stars with spectral type F and later
were obtained in order to search for signatures of differential rotation in
line profiles. In 147 stars, the rotation law could be measured, 28 of them are
found to be differentially rotating. Comparison to rotation laws in stars of
spectral type A reveals that differential rotation sets in at the convection
boundary in the HR-diagram; no star that is significantly hotter than the
convection boundary exhibits the signatures of differential rotation. Four late
A-/early F-type stars close to the convection boundary and at vsini~100 km/s
show extraordinarily strong absolute shear at short rotation periods around one
day. It is suggested that this is due to their small convection zone depth and
that it is connected to a narrow range in surface velocity. Detection
frequencies of differential rotation were analyzed in stars with varying
temperature and rotation velocity. Measurable differential rotation is more
frequent in late-type stars and slow rotators. The strength of absolute shear
and differential rotation are examined as functions of the stellar effective
temperature and rotation period. The strongest shear is found at rotation
periods between two and three days. In slower rotators, the strongest shear at
a given rotation rate is given approximately by DOmega_max ~ P^{-1}. In faster
rotators, alpha_max and DOmega_max diminish less rapidly. A comparison with
differential rotation measurements in stars of later spectral type shows that
F-stars exhibit stronger shear than cooler stars do, the upper boundary in
absolute shear DOmega with temperature is consistent with the temperature
scaling law found in Doppler Imaging measurements.
",http://arxiv.org/pdf/astro-ph/0509399v2
Slowly rotating scalar field wormholes: the second order approximation,"  We discuss rotating wormholes in general relativity with a scalar field with
negative kinetic energy. To solve the problem, we use the assumption about slow
rotation. The role of a small dimensionless parameter plays the ratio of the
linear velocity of rotation of the wormhole's throat and the velocity of light.
We construct the rotating wormhole solution in the second order approximation
with respect to the small parameter. The analysis shows that the asymptotical
mass of the rotating wormhole is greater than that of the non-rotating one, and
the NEC violation in the rotating wormhole spacetime is weaker than that in the
non-rotating one.
",http://arxiv.org/pdf/0809.1923v1
"Irreducible decomposition and calculating of multiplicity of the
  symmetric and exterior powers representation of finite groups","  In this paper we consider symmetric powers representation and exterior powers
representation of finite groups, which generated by the representation which
has finite dimension over the complex field. We calculate the multiplicity of
irreducible component of two representations of some representation by using a
character theory of representation and a pre-lambda-ring, for example, the
regular representation.
",http://arxiv.org/pdf/1405.2042v1
Diagram of Representations of Universal Algebras,"  Theory of representations of universal algebra is a natural development of
the theory of universal algebra. In the book, I considered representation of
universal algebra, diagram of representations and examples of representation.
Morphism of the representation is the map that conserve the structure of the
representation. Exploring of morphisms of the representation leads to the
concepts of generating set and basis of representation.
",http://arxiv.org/pdf/1908.04418v2
"Distinguished Regular Supercuspidal Representations and Inductive
  Constructions of Representations","  This paper develops the theory of distinguished regular supercuspidal
representations, and it highlights how the correspondence between regular
characters and regular supercuspidal representations resembles induction in
certain ways.
",http://arxiv.org/pdf/1808.03982v1
Imprimitivity theorem for groupoid representations,"  We define and investigate the concept of the groupoid representation induced
by a representation of the isotropy subgroupoid. Groupoids in question are
locally compact transitive topological groupoids. We formulate and prove the
imprimitivity theorem for such representations which is a generalization of the
classical Mackey's theorem known from the theory of group representations.
",http://arxiv.org/pdf/1008.2084v1
"Cross-projective representations of pairs of anticommutative algebras,
  alloys and finite-dimensional irreducible representations of some
  infinite-dimensional Lie algebras","  The article is devoted to some ``strange'' phenomena of representation theory
and their interrelations. Cross-projective representations of pairs of
anticommutative algebras, alloys, their universal envelopping Lie algebras and
their representations, quaternary algebras and their alloyability are
discussed. Considered examples allow to conclude that new representations have
some intriguing features (continuous moduli of finite-dimensional irreducible
representations, sophisticated Clebsch-Gordan coefficient calculus, etc.).
",http://arxiv.org/pdf/math/9806005v1
"Minimax deviation strategies for machine learning and recognition with
  short learning samples","  The article is devoted to the problem of small learning samples in machine
learning. The flaws of maximum likelihood learning and minimax learning are
looked into and the concept of minimax deviation learning is introduced that is
free of those flaws.
",http://arxiv.org/pdf/1707.04849v1
